id,EDANid,imageURL,thumbnail
01386,edanmdm:npg_S_NPG.2002.184.959,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_959,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_959/full/250,/0/default.jpg"
01387,edanmdm:npg_S_NPG.2002.184.958,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_958,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_958/full/250,/0/default.jpg"
01388,edanmdm:npg_S_NPG.2002.184.957,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_957,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_957/full/250,/0/default.jpg"
01389,edanmdm:npg_S_NPG.2002.184.956,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_956,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_956/full/250,/0/default.jpg"
01390,edanmdm:npg_S_NPG.2002.184.955,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_955,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_955/full/250,/0/default.jpg"
01391,edanmdm:npg_S_NPG.2002.184.954,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_954,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_954/full/250,/0/default.jpg"
01392,edanmdm:npg_S_NPG.2002.184.953,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_953,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_953/full/250,/0/default.jpg"
01393,edanmdm:npg_S_NPG.2002.184.952,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_952,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_952/full/250,/0/default.jpg"
01394,edanmdm:npg_S_NPG.2002.184.951,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_951,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_951/full/250,/0/default.jpg"
01395,edanmdm:npg_S_NPG.2002.184.950,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_950,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_950/full/250,/0/default.jpg"
01396,edanmdm:npg_S_NPG.2002.184.95,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_95,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_95/full/250,/0/default.jpg"
01397,edanmdm:npg_S_NPG.2002.184.949,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_949,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_949/full/250,/0/default.jpg"
01398,edanmdm:npg_S_NPG.2002.184.948,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_948,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_948/full/250,/0/default.jpg"
01399,edanmdm:npg_S_NPG.2002.184.947,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_947,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_947/full/250,/0/default.jpg"
01400,edanmdm:npg_S_NPG.2002.184.946,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_946,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_946/full/250,/0/default.jpg"
01401,edanmdm:npg_S_NPG.2002.184.945,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_945,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_945/full/250,/0/default.jpg"
01402,edanmdm:npg_S_NPG.2002.184.944,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_944,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_944/full/250,/0/default.jpg"
01403,edanmdm:npg_S_NPG.2002.184.943,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_943,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_943/full/250,/0/default.jpg"
01404,edanmdm:npg_S_NPG.2002.184.942,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_942,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_942/full/250,/0/default.jpg"
01405,edanmdm:npg_S_NPG.2002.184.941,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_941,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_941/full/250,/0/default.jpg"
01406,edanmdm:npg_S_NPG.2002.184.940,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_940,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_940/full/250,/0/default.jpg"
01407,edanmdm:npg_S_NPG.2002.184.94,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_94,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_94/full/250,/0/default.jpg"
01408,edanmdm:npg_S_NPG.2002.184.939,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_939,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_939/full/250,/0/default.jpg"
01409,edanmdm:npg_S_NPG.2002.184.938,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_938,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_938/full/250,/0/default.jpg"
01410,edanmdm:npg_S_NPG.2002.184.937,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_937,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_937/full/250,/0/default.jpg"
